FRAMEWORK,SOURCE,TOPIC,
Hibernate,https://www.jetbrains.com.cn/en-us/help/inspectopedia/HibernateFindAnnotationInspection.html,Incorrect use of @Find annotation﻿,
Hibernate,https://www.jetbrains.com.cn/en-us/help/inspectopedia/JpaQueryApiInspection.html,Invalid Hibernate DB-related XML mappings﻿,
Hibernate,https://www.jetbrains.com.cn/en-us/help/inspectopedia/HibernateConfigDomInspection.html,Invalid Hibernate XML configuration﻿,
Hibernate,https://www.jetbrains.com.cn/en-us/help/inspectopedia/HibernateConfigDomFacetInspection.html,Hibernate configuration XML is not added to facet﻿,
AOP,https://www.jetbrains.com.cn/en-us/help/inspectopedia/ArgNamesErrorsInspection.html,"Advice parameters (argNames, returning, throwing) consistency check",
AOP,https://www.jetbrains.com.cn/en-us/help/inspectopedia/AroundAdviceStyleInspection.html,Around advice style inspection,
AOP,https://www.jetbrains.com.cn/en-us/help/inspectopedia/DeclareParentsInspection.html,Introductions (declare parents) errors,
AOP,https://www.jetbrains.com.cn/en-us/help/inspectopedia/AopLanguageInspection.html,Pointcut expression errors﻿,
AOP,https://www.jetbrains.com.cn/en-us/help/inspectopedia/PointcutMethodStyleInspection.html,Pointcut method style﻿,
AOP,https://www.jetbrains.com.cn/en-us/help/inspectopedia/ArgNamesWarningsInspection.html,Warning: argNames not defined,
Java Persistence API (JPA),https://www.jetbrains.com.cn/en-us/help/inspectopedia/AssociationFieldHasColumnAnnotation.html,Association field marked with @Colum,
Java Persistence API (JPA),https://www.jetbrains.com.cn/en-us/help/inspectopedia/AssociationNotMarkedInspection.html,Entity attribute is not marked with association annotation,
Java Persistence API (JPA),https://www.jetbrains.com.cn/en-us/help/inspectopedia/MoreThanOneIdInspection.html,Entity has more than one id attribute.﻿,
Java Persistence API (JPA),https://www.jetbrains.com.cn/en-us/help/inspectopedia/JpaEntityListenerInspection.html,Entity listener problems﻿,Example
